id:ID(Course),name,department,credits:int,level:int,avgDifficulty:float,avgTimeCommitment:int,termAvailability,instructionModes,tags,visualLearnerSuccess:float,auditoryLearnerSuccess:float,kinestheticLearnerSuccess:float,readingLearnerSuccess:float
CSFF 300,Mobile Computing Applications,Computer Science,3,300,3,7,Fall;Spring,In-person,Computer Science;Level-3;Applications;Mobile,0.85,0.88,0.69,0.81
CSII 100,Fundamentals of Computer Networks,Computer Science,2,100,3,5,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-1,0.83,0.87,0.75,0.96
CSCC 200,Programming Languages,Computer Science,4,200,2,5,Fall;Spring,In-person;Online,Computer Science;Level-2;Programming,0.66,0.71,0.82,0.89
CSYY 400-7,Advanced Computer Graphics,Computer Science,3,400,4,11,Fall;Spring,In-person;Hybrid,Computer Science;Level-4;Advanced,0.96,0.79,0.9,0.98
CSKK 100,Basic Blockchain Technology,Computer Science,3,100,3,6,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-1;AI;Blockchain,0.94,0.63,0.83,0.78
CSRR 400,Special Topics in Operating Systems,Computer Science,3,400,2,7,Fall;Spring,In-person;Online,Computer Science;Level-4;Systems,0.62,0.66,0.81,0.75
CSAA 300,Introduction to Programming Applications,Computer Science,3,300,3,9,Fall;Spring,In-person,Computer Science;Level-3;Intro;Programming;Applications,0.89,0.78,0.78,0.67
CSSS 300,Computer Vision Analysis,Computer Science,1,300,2,7,Fall;Spring,In-person;Online;Hybrid,Computer Science;Level-3;Analysis;Vision,0.75,0.79,0.88,0.75
CSHH 100,Basic Introduction to Programming,Computer Science,3,100,3,7,Fall;Spring,In-person;Hybrid,Computer Science;Level-1;Intro;Programming,0.76,0.6,0.69,0.97
CSWW 400,Topics in Operating Systems,Computer Science,1,400,3,10,Fall;Spring,In-person;Hybrid,Computer Science;Level-4;Systems,0.93,0.8,0.8,0.64
BYYY 400,Advanced Molecular Biology,Biology,3,400,2,9,Fall;Spring,In-person,Biology;Level-4;Advanced;Molecular,0.71,0.72,0.9,0.64
BOOO 200,Marine Biology,Biology,3,200,2,6,Fall;Spring;Summer,In-person;Online,Biology;Level-2;Marine,0.89,0.8,0.88,0.91
BUUU 100,Basic Genomics,Biology,3,100,4,6,Fall;Spring,In-person;Hybrid,Biology;Level-1;Genomics,0.95,0.95,0.81,0.76
BIII 300,Tropical Biology I,Biology,3,300,4,10,Fall;Spring,In-person;Hybrid,Biology;Level-3;Tropical,0.93,0.74,0.73,0.63
BYYY 400-5,Topics in Evolution,Biology,2,400,2,8,Fall;Spring,In-person,Biology;Level-4;Evolution,0.9,0.62,0.77,0.74
BVVV 200,Genetics,Biology,3,200,2,6,Fall;Spring,In-person;Online,Biology;Level-2;Genetics,0.64,0.97,0.62,0.66
BQQQ 200,Stem Cell Biology,Biology,3,200,2,5,Fall;Spring,In-person;Online,Biology;Level-2;Cell;Stem Cell,0.83,0.98,0.7,0.97
BQQQ 400,Topics in Tropical Biology,Biology,1,400,3,8,Fall;Spring,In-person;Online;Hybrid,Biology;Level-4;Tropical,0.62,0.83,0.9,0.82
BZZZ 300,Stem Cell Biology Applications,Biology,3,300,2,6,Fall;Spring,In-person;Online,Biology;Level-3;Cell;Stem Cell,0.76,0.74,1.0,0.67
BVVV 300,Synthetic Biology Applications,Biology,2,300,3,7,Fall;Spring,In-person;Hybrid,Biology;Level-3,0.88,0.68,0.73,0.71
BWWW 200,Virology,Biology,2,200,2,6,Fall;Spring,In-person,Biology;Level-2;Virology,0.6,0.7,0.88,0.8
BZZZ 300-9,Behavioral Ecology Applications,Biology,2,300,3,7,Fall;Spring,In-person;Online,Biology;Level-3;Ecology;Behavioral,0.66,0.86,0.92,0.61
BQQQ 400-7,Topics in Conservation Biology,Biology,3,400,2,8,Fall;Spring;Summer,In-person;Online,Biology;Level-4;Conservation,0.99,0.88,0.95,0.84
BNNN 300,Animal Behavior Methods,Biology,3,300,4,10,Fall;Spring,In-person,Biology;Level-3;Animal,0.84,0.74,0.86,0.96
BVVV 200-5,Systems Biology,Biology,3,200,2,7,Fall;Spring,In-person;Hybrid,Biology;Level-2;Systems,0.76,0.88,0.87,0.8
BIII 100,Principles of Cell Physiology,Biology,1,100,4,6,Fall;Spring;Summer,In-person;Online,Biology;Level-1;Cell;Physiology,0.98,0.83,0.8,0.64
BKKK 100,Introduction to Molecular Genetics,Biology,3,100,3,7,Fall;Spring,In-person;Online,Biology;Level-1;Intro;Molecular;Genetics,0.66,0.77,0.61,0.87
BAAA 200,Metabolomics,Biology,1,200,3,6,Fall;Spring,In-person;Online,Biology;Level-2,0.66,0.85,0.78,0.89
BJJJ 400,Topics in Ecology,Biology,3,400,3,8,Fall;Spring,In-person,Biology;Level-4;Ecology,0.94,0.63,0.77,0.97
BRRR 400,Special Topics in Virology,Biology,3,400,3,8,Fall;Spring,In-person;Online,Biology;Level-4;Virology,0.82,0.77,0.93,0.9
BKKK 200,Stem Cell Biology,Biology,3,200,4,9,Fall;Spring,In-person;Hybrid,Biology;Level-2;Cell;Stem Cell,0.77,0.92,0.87,0.7
BDDD 300,Marine Biology I,Biology,3,300,3,7,Fall;Spring,In-person;Online,Biology;Level-3;Marine,0.64,0.63,1.0,0.6
BAAA 200-8,Behavioral Ecology,Biology,3,200,2,5,Fall;Spring,In-person;Online;Hybrid,Biology;Level-2;Ecology;Behavioral,0.81,0.89,0.88,0.64
BMMM 200,Comparative Anatomy,Biology,3,200,4,7,Fall;Spring,In-person;Online,Biology;Level-2;Anatomy;Comparative,0.63,0.8,0.69,0.83
BGGG 400,Topics in Biochemistry,Biology,3,400,4,11,Fall;Spring;Summer,In-person;Online,Biology;Level-4;Biochemistry,0.89,0.68,0.93,0.67
BXXX 400,Advanced Environmental Biology,Biology,3,400,2,8,Fall;Spring,In-person;Hybrid,Biology;Level-4;Advanced;Environmental,0.93,0.77,0.89,0.98
BAAA 100,Introduction to Molecular Genetics,Biology,2,100,4,7,Fall;Spring,In-person;Online,Biology;Level-1;Intro;Molecular;Genetics,0.81,0.61,0.99,0.62
BCCC 200,Genomics,Biology,3,200,1,5,Fall;Spring,In-person,Biology;Level-2;Genomics,0.63,0.7,0.9,0.68
BTTT 200,Molecular Genetics,Biology,3,200,2,5,Fall;Spring;Summer,In-person;Online,Biology;Level-2;Molecular;Genetics,0.76,0.84,0.9,0.8
BXXX 100,Principles of Computational Biology,Biology,3,100,3,7,Fall;Spring,In-person,Biology;Level-1,0.98,0.79,0.74,0.64
BRRR 300,General Biology Theory,Biology,3,300,5,11,Fall;Spring;Summer,In-person;Online,Biology;Level-3,0.98,1.0,0.83,0.84
BXXX 300,General Biology I,Biology,3,300,4,10,Fall;Spring,In-person;Online,Biology;Level-3,0.7,0.9,0.92,0.84
BBBB 200,Microbiology,Biology,3,200,1,6,Fall;Spring,In-person;Hybrid,Biology;Level-2;Micro,0.67,0.73,0.69,0.78
BLLL 300,Conservation Biology Applications,Biology,3,300,3,8,Fall;Spring,In-person;Online,Biology;Level-3;Conservation,0.6,0.98,0.89,0.73
BZZZ 200,Molecular Genetics,Biology,3,200,2,6,Fall;Spring,In-person;Online,Biology;Level-2;Molecular;Genetics,0.89,0.6,0.8,0.99
BPPP 300,Tropical Biology Analysis,Biology,3,300,3,9,Fall;Spring;Summer,In-person;Online;Hybrid,Biology;Level-3;Tropical,0.62,0.86,0.78,0.65
BCCC 200-8,Neurobiology,Biology,2,200,3,7,Fall;Spring,In-person;Hybrid,Biology;Level-2;Neuro,0.82,0.86,0.65,0.61
BJJJ 100,Principles of General Biology,Biology,3,100,4,8,Fall;Spring;Summer,In-person,Biology;Level-1,0.76,0.74,0.71,0.93
BVVV 300-8,Stem Cell Biology Methods,Biology,1,300,3,7,Fall;Spring,In-person,Biology;Level-3;Cell;Stem Cell,0.74,0.72,0.65,0.75
BPPP 100,Fundamentals of Cancer Biology,Biology,3,100,4,6,Fall;Spring,In-person;Online,Biology;Level-1;Cancer,0.94,0.92,0.72,0.88
BQQQ 400-5,Advanced Computational Biology,Biology,3,400,3,9,Fall;Spring;Summer,In-person;Online,Biology;Level-4;Advanced,0.79,0.96,0.83,0.9
BJJJ 200,Ecology,Biology,3,200,2,6,Fall;Spring,In-person;Hybrid,Biology;Level-2;Ecology,0.8,0.84,0.67,0.72
BLLL 300-3,Population Genetics Theory,Biology,3,300,3,8,Fall;Spring,In-person;Online,Biology;Level-3;Genetics;Population,0.87,1.0,0.79,0.65
BXXX 400-1,Special Topics in Conservation Biology,Biology,2,400,3,8,Fall;Spring,In-person;Online,Biology;Level-4;Conservation,0.94,0.8,0.76,0.93
BFFF 300,Neurobiology Methods,Biology,1,300,3,8,Fall;Spring;Summer,In-person,Biology;Level-3;Neuro,0.64,0.65,0.77,0.74
BEEE 300,Parasitology Analysis,Biology,2,300,3,9,Fall;Spring;Summer,In-person;Hybrid,Biology;Level-3;Parasitology,0.72,0.95,0.62,0.85
BIII 300-7,Tropical Biology Applications,Biology,1,300,4,10,Fall;Spring,In-person;Hybrid,Biology;Level-3;Tropical,0.77,0.86,0.68,0.95
BLLL 100,Introduction to Ecology,Biology,3,100,3,7,Fall;Spring;Summer,In-person;Online;Hybrid,Biology;Level-1;Intro;Ecology,0.68,0.84,0.9,0.67
BJJJ 200-2,Computational Biology,Biology,2,200,5,8,Fall;Spring,In-person;Hybrid,Biology;Level-2,0.72,0.87,0.96,0.64
BSSS 300,Metabolomics Methods,Biology,3,300,4,10,Fall;Spring,In-person;Online;Hybrid,Biology;Level-3,0.7,0.7,0.85,0.72
